Roo_terr,FtaCode,Roo_demin,ProductAffected_1,Roo_roll,Coo_ver,Coo_tpi,Roo_packaging,Coo_approved,Coo_adv,partner,Coo_refund,FtaId,Coo_exmptcoo,reporter,FtaStatusDesc,Roo_draw,ProductAffected_0,FtaStatusDate,Coo_sup,FtaName,rank,Roo_rvcformula,Roo_exhibitions,Coo_comp,Coo_app,Roo_fungible,Roo_wo,FtaScope,Roo_accessories,RooCode_0,Roo_mo,Roo_sets,RooText_0,FtaType,Coo_coo,Roo_trans,Roo_indir,RooCode_1,Coo_retention,Roo_outward,Coo_valid,productCode,Roo_accum,Coo_err,Coo_pen,RooText_1
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,704,within 1 year,852,included (less than US$1000),392,IN FORCE,not included,,14.01.2019,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,124,,852,,036,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,604,,852,,458,,,,,,,3,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,554,within 1 year,852,included (less than US$1000),484,IN FORCE,not included,,30.12.2018,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,704,,852,,124,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,858,,48,,076,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,604,within 1 year,852,included (less than US$1000),392,IN FORCE,not included,,19.09.2021,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,604,,852,,124,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,704,,852,,458,,,,,,,3,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,600,,48,,484,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,702,,852,,036,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,604,,852,,484,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,458,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,702,,852,,096,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,152,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,392,within 1 year,852,included (less than US$1000),124,IN FORCE,not included,,30.12.2018,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,604,,852,,554,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,484,,852,,392,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,704,,852,,484,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,096,,852,,036,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,484,,48,,076,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,484,,852,,458,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,392,,852,,152,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,484,,852,,152,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,704,,852,,554,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,554,,852,,392,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,704,,852,,096,,,,,,,3,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
included,ITC00882,included (10%),,included,Direct,provided,included,included,within 150 days,704,within 1 year,852,included (less than US$1000),036,IN FORCE,not included,,14.01.2019,provided,CPTPP,3,build up / build down / focused value / import content / net cost,not included,not provided,provided,materials & final goods,provided,"Plurilateral, Country-Country",included,RVC 45/55%,not provided,included (RVC 90%),"No change in tariff classification required for a good of heading 87.02 through 87.05, provided there is a regional value content of not less than: (a) 45 per cent under the net cost method; or (b) 55 per cent under the build-down method.",Free trade agreement,self-certification/authorized body,included,included,,5 years,not included,1 year (for multiple shipments),8703900000,diagonal and full,provided,provided,
,,,,,,,,,,600,,48,,032,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,858,,48,,600,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
,,,,,,,,,,604,,852,,096,,,,,,,3,,,,,,,,,,,,,,,,,,,,,8703900000,,,,
